"type","positie","resumptiepatroon","subj_sub","subj_main","verb_sub","verb_main","vframe_main","vframe_sub","tense_sub","tense_main","function","middenveld_1","ben_sub","word_sub","heb_sub","kan_sub","mag_sub","moet_sub","wil_sub","ga_sub","zal_sub","blijf_sub","kom_sub","laat_sub","word_main","kan_main","zal_main","ben_main","heb_main","ga_main","wil_main","blijf_main","moet_main","mag_main","_main","kom_main","hoef_main","laat_main","zin","remarks"
"v1-lex","P1","NI","de DVP","de DVP","behaal","verkrijg","copula","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behaalde de DVP bij de Rijksdagverkiezingen van 1928 nog 45 zetels , bij de Rijksdagverkiezingen van 14 september 1930 verkreeg de DVP nog maar 30 zetels",
"v1-lex","P1","NI","de partij","dit","behaal","ben","copula","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behaalde de partij in 1981 nog ruim 19% van de stemmen , in 1987 was dit nog maar 3,06%",
"v1-lex","P1","NI","hij","hij","behaal","eindig","cleft","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"behaalde hij een gouden medaille met het Franse team in de gemengde landenwedstrijd , op de reuzenslalom eindigde hij op de negende plaats",
"v1-lex","P1","NI","de linkse","dit","behaal","ben","pc_pp(op)","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behaalden de linkse partijen onder leiding van de "" Parti Socialiste "" ( Socialistische Partij ) in 1997 gezamenlijk 319 zetels , in 2002 was dit nog maar 178 zetels",
"v1-lex","P1","NI","hij","hij","behoor","ontpop","ld_dir","pc_pp(tot)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Behoorde hij aanvankelijk tot de gematigde vleugel van de Oostenrijkse nazi's , later zou hij zich in het bezette Nederland ontpoppen als hardliner",
"v1-lex","P1","NI","Jean Georges Vongerichten","hij","behoor","ben","copula","pc_pp(tot)","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behoorde tien jaar geleden Jean Georges Vongerichten tot de top in New York , nu is hij al een klassieker",
"v1-lex","P1","NI","Berry","hij","beland","beschiet","er_pp_vp_no_control(om)","ld_pp","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"belandt Berry in het boek nog in de gevangenis omdat hij een steen gooide naar de burgemeester in zijn auto , in de film beschiet hij een jeugdwerker",
"v1-lex","P1","NI","haar bijdragen","haar aanwezigheid in de film","beperk","word","pc_pp(om)","refl","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beperkten haar bijdragen zich aanvankelijk tot kleinigheden en dansen , van lieverlee werd haar aanwezigheid in de film prominenter",
"v1-lex","P1","NI","geen verschil van mening omtrent een leerstelling","deze stelling","besta","ben","transitive","intransitive","tgw","tgw","contrastief","adjunct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bestaat er nu geen verschil van mening omtrent een leerstelling , zo is deze stelling te accepteren oftewel "" te geloven",
"v1-lex","P1","NI","de religie","mannelijke goden","besta","kom","part_intransitive(vooruit)","pc_pp(uit)","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bestond de religie tot dan toe voornamelijk uit voorouderverering en mogelijk de verering van de moedergodin , nu komen er ook mannelijke goden",
"v1-lex","P1","NI","het klassiek ballet","Graham","besta","neem","np_pc_pp(van)","pc_pp(uit)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bestond het klassiek ballet uit strikte voorschriften over hoe de dans moest worden vormgegeven , Graham nam het gevoel als drijfveer",
"v1-lex","P1","NI","de SDA","de SDA van Mller","blijf","speel","copula","copula","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleef de SDA in het westen onbeduidend , de SDA van Mller speelde nog enige rol van betekenis in Oost-Berlijn",
"v1-lex","P1","NI","Denny","Strawbs","blijf","zoek","copula","ld_pp","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleef Denny nog lang in de folkscene , Strawbs zochten hun eigen weg naar meer symfonische rock",
"v1-lex","P1","NI","dit","het openlijke ronddragen van de zichtbare hostie","blijf","kom","ninv(so_pp_np_part_so_pp_np(uit))","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleef dit voorheen beperkt tot de aanbidding voor het gesloten tabernakel , vanaf dan kwam ook het openlijke ronddragen van de zichtbare hostie in gebruik",
"v1-lex","P1","NI","het Mardijker-Portugees","weinig","blijf","ben","ld_pp","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleef het Mardijker-Portugees nog lang in Toegoe bestaan , reeds in het midden van de 19e eeuw was er van de culturele wereld van de Portugeessprekende inwoners van Batavia zelf nog maar weinig over",
"v1-lex","P1","NI","zijn zang in het begin","het","blijk","heb","pc_pp(om)","copula","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleek zijn zang in het begin nog een exacte kopie van zijn grote idool Bennie Jolink met Achterhoekse invloeden in het taalgebruik , tegenwoordig heeft het een eigen krachtig en herkenbaar Drents karakter",
"v1-lex","P1","NI","de sonnetten","een breed scala aan themas en emoties","blijf","passeer","pc_pp(om)","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleven de sonnetten van tijdgenoten nogal eens hangen in het voorspelbare stramien van de versmade minnaar die zijn lot beklaagt , in de sonnetten van Shakespeare passeert een breed scala aan thema's en emoties de revue : liefde , dood en sterfelijkheid",
"v1-lex","P1","NI","zijn activiteiten","hij","blijf","manifesteer","ap_copula","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bleven zijn activiteiten op dit terrein in de jaren twintig beperkt tot het schrijven van essays over kunst en samenleving , na 1931 manifesteerde hij zich als ' man van de daad",
"v1-lex","P1","NI","Mobilvetta",2002,"boek","ben","part_transitive(uit)","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Boekte Mobilvetta dat jaar verder geen vermeldenswaardige overwinningen , 2002 was niet veel beter",
"v1-lex","P1","NI","het","dit","bied","groei","ap_copula","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"bood het in 1866 nog werk aan 8 man , in 1913 was dit gegroeid tot 700 man",
"v1-lex","P1","NI","eigen zij- en kopklepmotoren van 173","inbouwmotoren van Villiers en Blackburne","bouw","gebruik","ap_copula","intransitive","verl","verl","contrastief","adjunct",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bouwde oorspronkelijk eigen zij- en kopklepmotoren van 173 tot 498 cc , vanaf 1928 werden inbouwmotoren van Villiers en Blackburne gebruikt",
"v1-lex","P1","NI","de  Haarlemmer","hij","breng","blijk","cleft","transitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Bracht de "" Haarlemmer "" dus even weinig origineel nieuws als menige moderne krant , en was dit niet het eerste nieuwsblad en bij lange na niet het eerste "" dag""blad , hij is wel het langstlevende gebleken",
"v1-lex","P1","NI","de marine van de Verenigde Staten","de marine van de Sovjet-Unie","concentreer","ontwikkel","ninv(transitive_part_transitive(vol))","refl_pc_pp(op)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Concentreerde de marine van de Verenigde Staten zich vooral op luchtdoelraketten en later op intercontinentale raketten ( met nucleaire lading ) , de marine van de Sovjet-Unie ontwikkelde ook anti-schip- of zeedoelraketten om oppervlakteschepen uit te schakelen",
"v1-lex","P1","NI","het inwonertal","het","daal","stijg","part_pc_pp(toe_naar)","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Daalde het inwonertal tussen 1936 en 1982 van 240.747 tot 168.424 , ondanks de aanhechting van Hellemmes en Lomme , in 2004 was het weer gestegen naar 226.800",
"v1-lex","P1","NI","men","de oorsprong van de moresca","denk","zie","transitive","pc_pp(aan)","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dacht men vroeger aan een herinneringsdans aan de Moren , thans wordt de oorsprong van de moresca eerder gezien in de vruchtbaarheidsdansen",
"v1-lex","P1","NI","berichten verstuurd","het bericht","doe","ben","transitive","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deden berichten verstuurd met de postkoets er dagen over , met de telegraaf was het bericht binnen enkele minuten verstuurd naar de ander kant van het land",
"v1-lex","P1","NI","berichten verstuurd","het bericht","doe","ben","transitive","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deden berichten verstuurd met de postkoets er dagen over , met de telegraaf was het bericht binnen enkele minuten verstuurd naar de andere kant van het land",
"v1-lex","P1","NI","16 landen","het","doe_mee","ben","transitive","part_intransitive(mee)","verl","verl","contrastief","adjunct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deden er aan de eerste editie nog 16 landen mee , in 2009 waren het er nog maar 13",
"v1-lex","P1","NI","het kanaal","het","eindig","eindig","transitive","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eindigde het kanaal eerder in de Oosterhaven van Groningen , op het verlengde van het huidige Schuitendiep , nu eindigt het zo'n 1 km oostwaarts bij handelshavens van de stad , op het verlengde van het Van Starkenborghkanaal",
"v1-lex","P1","NI","zij","het","evenaar","ga","cleft","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Evenaarde zij op het eerste nummer , de 100 m horden , met 13,66 nog haar beste seizoensprestatie , daarna ging het bergafwaarts met Wisse , die na twee dagen zwoegen tenslotte met een puntentotaal van 5704 als twintigste eindigde",
"v1-lex","P1","NI","het","dat","ga","ben","transitive","intransitive","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gaat het daarin vooral om het avontuur , dat is niet het geval met het in 1985 verschenen jeugdboek "" Swart op wyt "" , dat handelt over de relatie tussen de zestienjarige Femke en haar moeder Ida",
"v1-lex","P1","NI","het","het","ga","draai","nonp_pred_np_ndev","intransitive","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gaat het er bij broadcasting om vanuit een zender een groot aantal ontvangers tegelijkertijd met een generieke boodschap te bereiken , bij narrowcasting draait het er om de juiste boodschap , op het juiste moment , bij de juiste doelgroep over te brengen",
"v1-lex","P1","NI","het","het","ga","draai","np_vp_obj","pc_pp(over)","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gaat het in de Business Case over het ' waarom ' , hier draait het om de ' wie ' vraag",
"v1-lex","P1","NI","het","beheersing van het schip en het vermogen om anticiperend en corrigerend op te treden","ga","speel","part_ld_pp(terecht)","pc_pp(om)","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gaat het in de wedstrijd om de pure snelheid en het tactisch inzicht , bij het admiraalzeilen spelen beheersing van het schip en het vermogen om anticiperend en corrigerend op te treden de hoofdrol",
"v1-lex","P1","NI","het","de klok","ga","ga_vooruit","copula","ld_dir","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gaat het weer vooruit ( het wordt warmer ) gaat de klok een uur vooruit",
"v1-lex","P1","NI","dit","deze kunstvorm","gebeur","krijg","copula","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Gebeurde dit oorspronkelijk op rotsen , boomschors , personen of in het zand , vanaf het midden van de twintigste eeuw heeft deze kunstvorm een nieuwe impuls gekregen doordat men gebruik ging maken van moderne middelen zoals acrylverf en doek",
"v1-lex","P1","NI","de Wehrmacht","kanonnen met een kaliber van 128 cm","gebruik","ben","copula","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gebruikte de Wehrmacht in Polen 1939 nog kanonnen met een kaliber van 3,7 cm ( PaK 35 ) , aan het einde van de oorlog waren er reeds kanonnen met een kaliber van 12,8 cm in gebruik ( PaK 80",
"v1-lex","P1","NI","Greenwood","Greens versie","gebruik","ben","copula","transitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gebruikte Greenwood nog een boor aangedreven door een spinnewiel , Greens versie was een pneumatische boor die werkte op een pedaalbediende balg",
"v1-lex","P1","NI","de Gouden Bikini 2008","de Gouden Bikini 2009","ga","reik_uit","copula","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging de Gouden Bikini 2008 nog naar TRIN , de Gouden Bikini 2009 werd uitgereikt aan Gertjan Goldschmeding , de voorganger van de Amersfoortse ACC Jouwkerk die in 2009 uitgebreid in de media verscheen omdat hij de pedagogische tik als opvoedmethode predikte",
"v1-lex","P1","NI","de sprint","de C-klasse in 93 seconden","ga","sleep","ap_copula","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ging de sprint naar ' 100 ' in de C 230 nog in 10,5 seconden , de 240 kon de C-klasse in 9,3 seconden naar dezelfde snelheid slepen",
"v1-lex","P1","NI","het","het","ga","ga","transitive","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging het bij de esthetische oordeelskracht om de subjectieve/relatieve doelmatigheid ( het vrije spel van de kenvermogens ) , die niet van het kunstwerk of de natuur is , maar voortkomt uit ons beoordelingsvermogen , bij de teleologische oordeelskracht gaat het juist wel om de doelmatigheid van het natuurobject",
"v1-lex","P1","NI","het","het","ga","ga","transitive","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging het daar om een definitie van begrippen als "" rechtvaardigheid "" , "" bezonnenheid "" etc. hier gaat het om het meta-begrip "" kennis",
"v1-lex","P1","NI","het","het","ga","ga","copula","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging het eerst over emancipatie en zelfbewustzijn , gestimuleerd door de kunstenaar , om zo de positie van bepaalde bevolkingsgroepen te versterken , nu gaat het vooral om emancipatie en zelfbewustzijn , gestimuleerd door de overheid , met kunst als gereedschap",
"v1-lex","P1","NI","het","kleine partenrederijen","ga","rust_uit","transitive","pc_pp(om)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging het in de tijd van de Compagnie om zo'n 15 schepen per jaar , kleine partenrederijen rustten in de tweede helft van de 17e eeuw per jaar ongeveer 200 schepen uit voor de walvisvangst",
"v1-lex","P1","NI","technologische ontwikkeling","de ontwikkelingen","ga","ga","transitive","ap_copula","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging technologische ontwikkeling in het begin langzaam , tegenwoordig gaan de ontwikkelingen razendsnel",
"v1-lex","P1","NI","technologische ontwikkeling in het begin","de ontwikkelingen","ga","ga","ninv(transitive_part_transitive(terug))","ap_copula","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ging technologische ontwikkeling in het begin nog langzaam , tegenwoordig gaan de ontwikkelingen razendsnel",
"v1-lex","P1","NI","416.406 katholieken","dat","ga","ben","ld_pp","ld_pp","verl","verl","contrastief","adjunct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gingen er in 1995 nog 416.406 katholieken op zondag naar de kerk , in 2008 waren dat er nog maar 253.261 , een afname van 39%",
"v1-lex","P1","NI","hun gloeilampen","zijn gloeilamp","ga","houd_vol","intransitive","intransitive","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Gingen hun gloeilampen al na een paar honderd uur stuk , zijn gloeilamp kon het tot 2000 uur volhouden",
"v1-lex","P1","NI","Alberico","Adalbert","richt","werk_toe","cleft","refl_pc_pp(op)","verl","verl","contrastief","subj",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had Alberico zich vooral gericht op de conceptie van een theorie , Adalbert werkte meer naar de pratijk toe",
"v1-lex","P1","NI","Alting Mees  de Minister van Kolonin ( 1876-1877 ) de strategische kwestie tegen een Europese vijand van ondergeschikt belang verklaard en ook gouverneur-generaal van Lansberge","Minister van Bosse ( 1877-1979","heb","verkondig","copula","nonp_pred_np_ndev","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had Alting Mees , de Minister van Kolonin ( 1876-1877 ) de strategische kwestie tegen een Europese vijand van ondergeschikt belang verklaard en ook gouverneur-generaal van Lansberge een aanval van buiten af voor zeer onwaarschijnlijk geoordeeld , Minister van Bosse ( 1877-1979 ) verkondigde de mening , dat Java in ieder geval in het bergland verdedigd moest worden",
"v1-lex","P1","NI","Auden als jongeman","hij","heb","krijg","aan_het","transitive_ndev","verl","verl","contrastief","subj",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had Auden als jongeman veel belangstelling gehad voor de theorien van Sigmund Freud , in de jaren dertig van de 20e eeuw kreeg hij veel belangstelling voor het marxisme",
"v1-lex","P1","NI","de hofraad van koning Karel V","die van Frans I","heb","tel","intransitive","transitive_ndev","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had de hofraad van koning Karel V in de 14e eeuw nog 12 leden , die van Frans I telde begin 16e eeuw al zo'n 70 personen",
"v1-lex","P1","NI","de Noorse muziek voor de Tweede Wereldoorlog","de Noorse muziek","heb","orinteer","transitive_ndev","transitive_ndev","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had de Noorse muziek voor de Tweede Wereldoorlog nog vaak een nationalistisch noords karakter , nadien werd de Noorse muziek steeds internationaler georinteerd",
"v1-lex","P1","NI","de pausverkiezing van Gregorius X","kardinaal Pierre de Tarentaise gekozen  die de naam Innocentius V aannam","duur","kies","copula","meas","verl","verl","contrastief","subj",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had de pausverkiezing van Gregorius X nog 1005 dagen geduurd , nu werd binnen twee dagen kardinaal Pierre de Tarentaise gekozen , die de naam Innocentius V aannam",
"v1-lex","P1","NI","de stad in 1648","het","heb","ben","transitive","transitive_ndev","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"had de stad in 1648 nog circa 6.000 inwoners , in 1709 waren het er ongeveer 57.000",
"v1-lex","P1","NI","de stad in 1807","al de mijlpaal van 100.000 inwoners bereikt  waarmee Keulen de vijfde  Grostadt  in Duitsland werd","heb","bereik","nonp_pred_np_ndev","transitive_ndev","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had de stad in 1807 nog 40.000 inwoners , in 1852 werd al de mijlpaal van 100.000 inwoners bereikt , waarmee Keulen de vijfde "" Grostadt "" in Duitsland werd",
"v1-lex","P1","NI","het Parlement","het Parlement","heb","heb","transitive","transitive_ndev","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had het Parlement eerst alleen een raadgevende functie ( via de Raadplegingsprocedure ) en later de macht om wel of niet in te stemmen met een voorstel ( de Instemmingsprocedure ) , met de medebeslissingsprocedure heeft het Parlement wetgevende macht die gelijk is aan die van de Raad : de macht om goed te keuren , te amenderen of af te keuren",
"v1-lex","P1","NI","hij","Albino","heb","verbied","ninv(transitive_part_transitive(uit))","np_pc_pp(van)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had hij eerder als bisschop Paulus ' standpunt inzake geboortebeperking verdedigd , toen een referendum werd gehouden over het toestaan van echtscheidingen , verbood Albino de Italiaanse katholieke jeugdorganisatie FUCI ( "" Federazoni Universitaria Cattolica Italiana "" ) dit initiatief te steunen",
"v1-lex","P1","NI","hij","hij","betuig","kom_terecht","part_intransitive(in)","transitive","verl","verl","contrastief","subj",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had hij eerder in zijn leven afwisselend Democratische en Republikeinse presidenten ( onder meer Ronald Reagan ) zijn steun betuigd , tegen het eind ervan kwam hij geheel in het Republikeinse kamp terecht",
"v1-lex","P1","NI","hij","hij","protesteer","word","copula","pc_pp(tegen)","verl","verl","contrastief","subj",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had hij eerst geprotesteerd tegen de komst van Sophia Loren , tijdens de opnames werd hij halsoverkop verliefd",
